date,Fact_sum
2017-12-31,26508.942
2017-12-30,27461.197
2017-12-29,28177.377
2017-12-28,27592.319
2017-12-27,27021.271
2017-12-26,26722.68
2017-12-25,26943.078
2017-12-24,26837.709
2017-12-23,26918.49
2017-12-22,26700.29
2017-12-21,26769.425
2017-12-20,26334.646
2017-12-19,26201.429
2017-12-18,26127.47
2017-12-17,25688.683
2017-12-16,27061.041
2017-12-15,27376.445
2017-12-14,26977.152
2017-12-13,26576.759
2017-12-12,26398.425
2017-12-11,26337.616
2017-12-10,26569.441
2017-12-09,26820.835
2017-12-08,26891.733
2017-12-07,26983.717
2017-12-06,26604.429
2017-12-05,26170.609
2017-12-04,26107.23
2017-12-03,25890.952
2017-12-02,25582.212
2017-12-01,24852.366
2017-11-30,25280.869
2017-11-29,25284.75
2017-11-28,25320.387
2017-11-27,24855.468
2017-11-26,25222.224
2017-11-25,25118.354
2017-11-24,25054.226
2017-11-23,24591.764
2017-11-22,24648.51
2017-11-21,24619.257
2017-11-20,25237.973
2017-11-19,24999.559
2017-11-18,25026.586
2017-11-17,24937.86
2017-11-16,24896.314
2017-11-15,24726.198
2017-11-14,24666.873
2017-11-13,24466.608
2017-11-12,24313.434
2017-11-11,23994.08
2017-11-10,23947.208
2017-11-09,23697.672
2017-11-08,23545.86
2017-11-07,23412.664
2017-11-06,23286.439
2017-11-05,23276.032
2017-11-04,23277.829
2017-11-03,23284.2
2017-11-02,23069.072
2017-11-01,22759.314
2017-10-31,22955.334
2017-10-30,22544.884
2017-10-29,21957.008
2017-10-28,22053.232
2017-10-27,22064.961
2017-10-26,21958.95
2017-10-25,21769.437
2017-10-24,21596.828
2017-10-23,21609.676
2017-10-22,21506.334
2017-10-21,21171.792
2017-10-20,21184.29
2017-10-19,20946.961
2017-10-18,20783.967
2017-10-17,20484.871
2017-10-16,20507.202
2017-10-15,20452.113
2017-10-14,20408.379
2017-10-13,20180.732
2017-10-12,19926.461
2017-10-11,19860.903
2017-10-10,19829.341
2017-10-09,19659.036
2017-10-08,19540.164
2017-10-07,19590.821
2017-10-06,19352.77
2017-10-05,19204.818
2017-10-04,19825.167
2017-10-03,18831.268
2017-10-02,18786.692
2017-10-01,18697.566
2017-09-30,18608.218
2017-09-29,18556.03
2017-09-28,17698.513
2017-09-27,18289.634
2017-09-26,17860.017
2017-09-25,17648.683
2017-09-24,17452.933
2017-09-23,17295.964
2017-09-22,17371.847
2017-09-21,17281.818
2017-09-20,16911.111
2017-09-19,16545.483
2017-09-18,16115.799
2017-09-17,15688.93
2017-09-16,15297.191
2017-09-15,16105.564
2017-09-14,16281.943
2017-09-13,16427.347
2017-09-12,16306.565
2017-09-11,16182.208
2017-09-10,16034.234
2017-09-09,15949.705
2017-09-08,15935.105
2017-09-07,15950.399
2017-09-06,15979.746
2017-09-05,15942.24
2017-09-04,15635.339
2017-09-03,15419.406
2017-09-02,15391.79
2017-09-01,15149.356
2017-08-31,15245.688
2017-08-30,15318.812
2017-08-29,15131.682
2017-08-28,14470.46
2017-08-27,14066.911
2017-08-26,14274.925
2017-08-25,13964.901
2017-08-24,13520.114
2017-08-23,13571.889
2017-08-22,13774.274
2017-08-21,13634.976
2017-08-20,13397.863
2017-08-19,13370.683
2017-08-18,13301.631
2017-08-17,13198.436
2017-08-16,13166.946
2017-08-15,13338.399
2017-08-14,12936.533
2017-08-13,12701.056
2017-08-12,12593.727
2017-08-11,12571.527
2017-08-10,12599.008
2017-08-09,12525.779
2017-08-08,12508.884
2017-08-07,12188.664
2017-08-06,12022.383
2017-08-05,11980.273
2017-08-04,11925.309
2017-08-03,11849.844
2017-08-02,11781.847
2017-08-01,11720.61
2017-07-31,11674.941
2017-07-30,11469.288
2017-07-29,11366.48
2017-07-28,11221.066
2017-07-27,11201.789
2017-07-26,11051.96
2017-07-25,10985.879
2017-07-24,10861.023
2017-07-23,10692.341
2017-07-22,10510.143
2017-07-21,10643.032
2017-07-20,10603.739
2017-07-19,10443.87
2017-07-18,10400.598
2017-07-17,10276.004
2017-07-16,10237.943
2017-07-15,10211.916
2017-07-14,10227.871
2017-07-13,10104.209
2017-07-12,10015.37
2017-07-11,10019.913
2017-07-10,9987.719
2017-07-09,9965.585
2017-07-08,9970.084
2017-07-07,9897.198
2017-07-06,9807.572
2017-07-05,9766.637
2017-07-04,9710.598
2017-07-03,9644.209
2017-07-02,9443.979
2017-07-01,9429.977
2017-06-30,9540.373
2017-06-29,9654.82
2017-06-28,9588.059
2017-06-27,9511.862
2017-06-26,9564.993
2017-06-25,9352.157
2017-06-24,9368.735
2017-06-23,9545.652
2017-06-22,9494.579
2017-06-21,9409.539
2017-06-20,9412.866
2017-06-19,9508.746
2017-06-18,9537.138
2017-06-17,9531.761
2017-06-16,9554.089
2017-06-15,9551.59
2017-06-14,9591.915
2017-06-13,9657.663
2017-06-12,9545.966
2017-06-11,9662.836
2017-06-10,9654.421
2017-06-09,9692.698
2017-06-08,9732.565
2017-06-07,9816.241
2017-06-06,9871.367
2017-06-05,9862.28
2017-06-04,9839.061
2017-06-03,10042.092
2017-06-02,10144.446
2017-06-01,10152.921
2017-05-31,10123.877
2017-05-30,10019.269
2017-05-29,10195.468
2017-05-28,10335.648
2017-05-27,10452.958
2017-05-26,10442.68
2017-05-25,10682.784
2017-05-24,10860.817
2017-05-23,10937.166
2017-05-22,10957.771
2017-05-21,10930.103
2017-05-20,11105.91
2017-05-19,11359.567
2017-05-18,11484.996
2017-05-17,11461.915
2017-05-16,11412.945
2017-05-15,11331.293
2017-05-14,11539.332
2017-05-13,11751.02
2017-05-12,11933.585
2017-05-11,12002.906
2017-05-10,12141.984
2017-05-09,12268.935
2017-05-08,12397.412
2017-05-07,12340.16
2017-05-06,12505.123
2017-05-05,12732.807
2017-05-04,12663.388
2017-05-03,12872.409
2017-05-02,12829.204
2017-05-01,12856.418
2017-04-30,12988.531
2017-04-29,13126.531
2017-04-28,13221.428
2017-04-27,13327.679
2017-04-26,13477.586
2017-04-25,13750.315
2017-04-24,13817.73
2017-04-23,13966.668
2017-04-22,14175.23
2017-04-21,14227.267
2017-04-20,14392.793
2017-04-19,14619.347
2017-04-18,14778.853
2017-04-17,14862.912
2017-04-16,14783.976
2017-04-15,14883.834
2017-04-14,15056.632
2017-04-13,15147.837
2017-04-12,15292.536
2017-04-11,15506.997
2017-04-10,15631.444
2017-04-09,15722.473
2017-04-08,15909.168
2017-04-07,16043.416
2017-04-06,16248.573
2017-04-05,16443.514
2017-04-04,16633.597
2017-04-03,16645.236
2017-04-02,16606.166
2017-04-01,16795.773
2017-03-31,17011.938
2017-03-30,17019.774
2017-03-29,17124.523
2017-03-28,17247.723
2017-03-27,17063.711
2017-03-26,17340.762
2017-03-25,17612.096
2017-03-24,17709.656
2017-03-23,17803.471
2017-03-22,17700.775
2017-03-21,17901.519
2017-03-20,18096.818
2017-03-19,18215.98
2017-03-18,18284.393
2017-03-17,18352.396
2017-03-16,18654.875
2017-03-15,18696.157
2017-03-14,18904.093
2017-03-13,18986.398
2017-03-12,19103.445
2017-03-11,19387.824
2017-03-10,19500.637
2017-03-09,19619.866
2017-03-08,19785.024
2017-03-07,19906.748
2017-03-06,19919.893
2017-03-05,20055.892
2017-03-04,20292.958
2017-03-03,20404.557
2017-03-02,20616.513
2017-03-01,20705.532
2017-02-28,20886.209
2017-02-27,20797.165
2017-02-26,20793.041
2017-02-25,21055.331
2017-02-24,21189.854
2017-02-23,21217.377
2017-02-22,21488.636
2017-02-21,21554.618
2017-02-20,21305.767
2017-02-19,21551.541
2017-02-18,21838.359
2017-02-17,21791.22
2017-02-16,21737.603
2017-02-15,21282.798
2017-02-14,21457.051
2017-02-13,21848.121
2017-02-12,21985.188
2017-02-11,22098.341
2017-02-10,22183.405
2017-02-09,22396.9
2017-02-08,22580.838
2017-02-07,22870.797
2017-02-06,22864.978
2017-02-05,22878.137
2017-02-04,22996.615
2017-02-03,23236.222
2017-02-02,23254.257
2017-02-01,23609.501
2017-01-31,23709.952
2017-01-30,23838.196
2017-01-29,23955.241
2017-01-28,24071.475
2017-01-27,24028.261
2017-01-26,24190.013
2017-01-25,24200.67
2017-01-24,24112.622
2017-01-23,24150.625
2017-01-22,24298.833
2017-01-21,24518.237
2017-01-20,24472.268
2017-01-19,24663.053
2017-01-18,24532.545
2017-01-17,24707.436
2017-01-16,25031.398
2017-01-15,24851.017
2017-01-14,25265.268
2017-01-13,25119.968
2017-01-12,25192.119
2017-01-11,25156.204
2017-01-10,24965.92
2017-01-09,25083.623
2017-01-08,24909.157
2017-01-07,25160.973
2017-01-06,25403.102
2017-01-05,25388.898
2017-01-04,25419.192
2017-01-03,25498.908
2017-01-02,25630.361
2017-01-01,25981.859
2016-12-31,26096.883
2016-12-30,26175.059
2016-12-29,26461.065
2016-12-28,25855.097
2016-12-27,25519.547
2016-12-26,25693.845
2016-12-25,25414.003
2016-12-24,25992.178
2016-12-23,25664.631
2016-12-22,25609.144
2016-12-21,25820.748
2016-12-20,25954.448
2016-12-19,26059.874
2016-12-18,26093.811
2016-12-17,25569.768
2016-12-16,25657.622
2016-12-15,25395.791
2016-12-14,25568.918
2016-12-13,25792.713
2016-12-12,25461.246
2016-12-11,25029.55
2016-12-10,25287.361
2016-12-09,25127.245
2016-12-08,25331.836
2016-12-07,25411.731
2016-12-06,24633.175
2016-12-05,24512.481
2016-12-04,24985.127
2016-12-03,24873.587
2016-12-02,25034.544
2016-12-01,24787.341
2016-11-30,24885.662
2016-11-29,24747.87
2016-11-28,24469.398
2016-11-27,24075.591
2016-11-26,24220.199
2016-11-25,24052.137
2016-11-24,23938.948
2016-11-23,23953.87
2016-11-22,23587.832
2016-11-21,23634.01
2016-11-20,23369.116
2016-11-19,23414.57
2016-11-18,23651.051
2016-11-17,23506.504
2016-11-16,23265.734
2016-11-15,23235.629
2016-11-14,23320.993
2016-11-13,23077.936
2016-11-12,22898.905
2016-11-11,23095.253
2016-11-10,22973.052
2016-11-09,22628.968
2016-11-08,22752.04
2016-11-07,22375.722
2016-11-06,22122.069
2016-11-05,21831.967
2016-11-04,21827.717
2016-11-03,21756.093
2016-11-02,21797.084
2016-11-01,21759.26
2016-10-31,21482.458
2016-10-30,21171.852
2016-10-29,21202.33
2016-10-28,20862.815
2016-10-27,20728.38
2016-10-26,20609.665
2016-10-25,20489.772
2016-10-24,20438.567
2016-10-23,20209.084
2016-10-22,20182.159
2016-10-21,20096.964
2016-10-20,20120.488
2016-10-19,20069.162
2016-10-18,19964.531
2016-10-17,20131.858
2016-10-16,19989.428
2016-10-15,19531.562
2016-10-14,19452.538
2016-10-13,19339.14
2016-10-12,19168.725
2016-10-11,19034.982
2016-10-10,18867.977
2016-10-09,18665.701
2016-10-08,18684.533
2016-10-07,18691.548
2016-10-06,18444.826
2016-10-05,18334.596
2016-10-04,18215.133
2016-10-03,17999.972
2016-10-02,17663.344
2016-10-01,17488.573
2016-09-30,17510.031
2016-09-29,17373.96
2016-09-28,17433.763
2016-09-27,17333.835
2016-09-26,17243.238
2016-09-25,17136.043
2016-09-24,17041.847
2016-09-23,16838.499
2016-09-22,16973.031
2016-09-21,16916.055
2016-09-20,16663.357
2016-09-19,16614.389
2016-09-18,16424.863
2016-09-17,16413.803
2016-09-16,16488.175
2016-09-15,16234.331
2016-09-14,15823.913
2016-09-13,15611.387
2016-09-12,15549.809
2016-09-11,15409.293
2016-09-10,15364.498
2016-09-09,15283.843
2016-09-08,15086.707
2016-09-07,14941.67
2016-09-06,14826.938
2016-09-05,14809.4
2016-09-04,14569.497
2016-09-03,14480.947
2016-09-02,14219.232
2016-09-01,14252.208
2016-08-31,14266.827
2016-08-30,14063.887
2016-08-29,13987.569
2016-08-28,13973.762
2016-08-27,13804.869
2016-08-26,13852.066
2016-08-25,13714.176
2016-08-24,13553.795
2016-08-23,13441.052
2016-08-22,13505.558
2016-08-21,13350.238
2016-08-20,13226.584
2016-08-19,13336.63
2016-08-18,13261.6
2016-08-17,13021.11
2016-08-16,12883.351
2016-08-15,12752.07
2016-08-14,12671.737
2016-08-13,12444.613
2016-08-12,12284.241
2016-08-11,12145.18
2016-08-10,11991.558
2016-08-09,11876.147
2016-08-08,11765.313
2016-08-07,11664.844
2016-08-06,11627.642
2016-08-05,11562.259
2016-08-04,11532.083
2016-08-03,11499.194
2016-08-02,11304.229
2016-08-01,11208.242
2016-07-31,11115.609
2016-07-30,11056.537
2016-07-29,11016.785
2016-07-28,10962.192
2016-07-27,10905.199
2016-07-26,10804.485
2016-07-25,10802.068
2016-07-24,10666.881
2016-07-23,10708.826
2016-07-22,10593.298
2016-07-21,10473.408
2016-07-20,10296.274
2016-07-19,10056.484
2016-07-18,9937.594
2016-07-17,9852.938
2016-07-16,9784.584
2016-07-15,9670.018
2016-07-14,9530.954
2016-07-13,9541.118
2016-07-12,9436.496
2016-07-11,9310.966
2016-07-10,9299.929
2016-07-09,9308.006
2016-07-08,9067.2
2016-07-07,9119.906
2016-07-06,9245.39
2016-07-05,9195.809
2016-07-04,9178.434
2016-07-03,9144.82
2016-07-02,9112.348
2016-07-01,9125.947
2016-06-30,9123.635
2016-06-29,9025.145
2016-06-28,9037.983
2016-06-27,9061.758
2016-06-26,9016.66
2016-06-25,9072.722
2016-06-24,9074.039
2016-06-23,9143.29
2016-06-22,9086.576
2016-06-21,9006.816
2016-06-20,9028.519
2016-06-19,9059.386
2016-06-18,8983.046
2016-06-17,8967.532
2016-06-16,9167.881
2016-06-15,9176.98
2016-06-14,9118.119
2016-06-13,9121.705
2016-06-12,9160.453
2016-06-11,9220.209
2016-06-10,9447.981
2016-06-09,9507.444
2016-06-08,9559.342
2016-06-07,9648.977
2016-06-06,9717.729
2016-06-05,9685.089
2016-06-04,9795.334
2016-06-03,9829.858
2016-06-02,9874.692
2016-06-01,9903.361
2016-05-31,10002.763
2016-05-30,9897.21
2016-05-29,10078.226
2016-05-28,10156.441
2016-05-27,10049.454
2016-05-26,10518.185
2016-05-25,10773.1
2016-05-24,10765.836
2016-05-23,10782.469
2016-05-22,10829.101
2016-05-21,10952.472
2016-05-20,10907.789
2016-05-19,10942.741
2016-05-18,11114.39
2016-05-17,11205.559
2016-05-16,11268.009
2016-05-15,11589.064
2016-05-14,11511.746
2016-05-13,11629.187
2016-05-12,11656.403
2016-05-11,11753.525
2016-05-10,11957.154
2016-05-09,12068.222
2016-05-08,12235.769
2016-05-07,12354.253
2016-05-06,12573.66
2016-05-05,12583.44
2016-05-04,12527.784
2016-05-03,12618.518
2016-05-02,12755.114
2016-05-01,12840.482
2016-04-30,12692.461
2016-04-29,12848.573
2016-04-28,12933.9
2016-04-27,13094.177
2016-04-26,13128.801
2016-04-25,13274.759
2016-04-24,13391.76
2016-04-23,13592.881
2016-04-22,13888.231
2016-04-21,13916.972
2016-04-20,14072.317
2016-04-19,14178.534
2016-04-18,14386.542
2016-04-17,14585.688
2016-04-16,14853.008
2016-04-15,14642.928
2016-04-14,14817.433
2016-04-13,14837.45
2016-04-12,14971.699
2016-04-11,15184.325
2016-04-10,15263.552
2016-04-09,15530.109
2016-04-08,15627.338
2016-04-07,15897.261
2016-04-06,15986.695
2016-04-05,15953.048
2016-04-04,16307.364
2016-04-03,16436.9
2016-04-02,16573.62
2016-04-01,16861.858
2016-03-31,16789.622
2016-03-30,57051.113
2016-03-29,16814.159
2016-03-28,16942.722
2016-03-27,17028.065
2016-03-26,17122.386
2016-03-25,17399.786
2016-03-24,17519.452
2016-03-23,17675.494
2016-03-22,17724.652
2016-03-21,17855.046
2016-03-20,17997.89
2016-03-19,18180.309
2016-03-18,18165.371
2016-03-17,18363.716
2016-03-16,18399.027
2016-03-15,18495.825
2016-03-14,18640.309
2016-03-13,18794.559
2016-03-12,18940.367
2016-03-11,19159.911
2016-03-10,19163.197
2016-03-09,19416.539
2016-03-08,19397.327
2016-03-07,19506.741
2016-03-06,19816.977
2016-03-05,19978.806
2016-03-04,20273.67
2016-03-03,20406.638
2016-03-02,20522.167
2016-03-01,20502.836
2016-02-29,20562.252
2016-02-28,20598.941
2016-02-27,20759.889
2016-02-26,21125.861
2016-02-25,64775.468
2016-02-24,20916.152
2016-02-23,20652.066
2016-02-22,21109.538
2016-02-21,21570.695
2016-02-20,22029.926
2016-02-19,22104.931
2016-02-18,22314.363
2016-02-17,22347.91
2016-02-16,22680.013
2016-02-15,22166.147
2016-02-14,22309.138
2016-02-13,22580.967
2016-02-12,22425.419
2016-02-11,22702.559
2016-02-10,22415.143
2016-02-09,22995.299
2016-02-08,23330.081
2016-02-07,23340.558
2016-02-06,23637.233
2016-02-05,23932.092
2016-02-04,23726.763
2016-02-03,23464.047
2016-02-02,23954.164
2016-02-01,24333.671
2016-01-31,24035.58
2016-01-30,24166.358
2016-01-29,24384.768
2016-01-28,23962.361
2016-01-27,23918.487
2016-01-26,23911.844
2016-01-25,23907.754
2016-01-24,24008.513
2016-01-23,24191.919
2016-01-22,24406.319
2016-01-21,24546.082
2016-01-20,24949.818
2016-01-19,24951.998
2016-01-18,24679.382
2016-01-17,24253.492
2016-01-16,24854.151
2016-01-15,25343.138
2016-01-14,25214.833
2016-01-13,25160.485
2016-01-12,25038.689
2016-01-11,25274.299
2016-01-10,25443.145
2016-01-09,25322.454
2016-01-08,24950.216
2016-01-07,24840.41
2016-01-06,24884.197
2016-01-05,24942.433
2016-01-04,24927.758
2016-01-03,24976.712
2016-01-02,25075.897
2016-01-01,25167.215
